"Notes"	"States"	"States Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Population
"Total"	"South Carolina"	"45"			320061
	"South Dakota"	"46"	"< 1 year"	"1"	859
	"South Dakota"	"46"	"1-4 years"	"1-4"	4601
	"South Dakota"	"46"	"5-14 years"	"5-14"	9142
	"South Dakota"	"46"	"15-24 years"	"15-24"	6551
	"South Dakota"	"46"	"25-34 years"	"25-34"	6177
	"South Dakota"	"46"	"35-44 years"	"35-44"	5306
	"South Dakota"	"46"	"45-54 years"	"45-54"	3294
	"South Dakota"	"46"	"55-64 years"	"55-64"	2167
	"South Dakota"	"46"	"65-74 years"	"65-74"	1051
	"South Dakota"	"46"	"75-84 years"	"75-84"	301
	"South Dakota"	"46"	"85+ years"	"85+"	155
"Total"	"South Dakota"	"46"			39604
	"Tennessee"	"47"	"< 1 year"	"1"	9115
	"Tennessee"	"47"	"1-4 years"	"1-4"	37198
	"Tennessee"	"47"	"5-14 years"	"5-14"	87984
	"Tennessee"	"47"	"15-24 years"	"15-24"	68147
	"Tennessee"	"47"	"25-34 years"	"25-34"	60837
	"Tennessee"	"47"	"35-44 years"	"35-44"	59246
	"Tennessee"	"47"	"45-54 years"	"45-54"	41388
	"Tennessee"	"47"	"55-64 years"	"55-64"	23242
	"Tennessee"	"47"	"65-74 years"	"65-74"	11253
	"Tennessee"	"47"	"75-84 years"	"75-84"	4202
	"Tennessee"	"47"	"85+ years"	"85+"	1798
"Total"	"Tennessee"	"47"			404410
	"Texas"	"48"	"< 1 year"	"1"	188325
	"Texas"	"48"	"1-4 years"	"1-4"	781017
	"Texas"	"48"	"5-14 years"	"5-14"	2069289
	"Texas"	"48"	"15-24 years"	"15-24"	1956717
	"Texas"	"48"	"25-34 years"	"25-34"	1804265
	"Texas"	"48"	"35-44 years"	"35-44"	1635652
	"Texas"	"48"	"45-54 years"	"45-54"	1354328
	"Texas"	"48"	"55-64 years"	"55-64"	984085
	"Texas"	"48"	"65-74 years"	"65-74"	573881
	"Texas"	"48"	"75-84 years"	"75-84"	251800
	"Texas"	"48"	"85+ years"	"85+"	92498
"Total"	"Texas"	"48"			11691857
	"Utah"	"49"	"< 1 year"	"1"	9618
	"Utah"	"49"	"1-4 years"	"1-4"	37299
	"Utah"	"49"	"5-14 years"	"5-14"	94541
	"Utah"	"49"	"15-24 years"	"15-24"	88245
	"Utah"	"49"	"25-34 years"	"25-34"	74946
	"Utah"	"49"	"35-44 years"	"35-44"	63985
	"Utah"	"49"	"45-54 years"	"45-54"	48977
	"Utah"	"49"	"55-64 years"	"55-64"	30799
	"Utah"	"49"	"65-74 years"	"65-74"	15082
	"Utah"	"49"	"75-84 years"	"75-84"	6056
	"Utah"	"49"	"85+ years"	"85+"	2099
"Total"	"Utah"	"49"			471647
	"Vermont"	"50"	"< 1 year"	"1"	157
	"Vermont"	"50"	"1-4 years"	"1-4"	754
	"Vermont"	"50"	"5-14 years"	"5-14"	1896
	"Vermont"	"50"	"15-24 years"	"15-24"	2833
	"Vermont"	"50"	"25-34 years"	"25-34"	2386
	"Vermont"	"50"	"35-44 years"	"35-44"	1994
	"Vermont"	"50"	"45-54 years"	"45-54"	1250
	"Vermont"	"50"	"55-64 years"	"55-64"	1004
	"Vermont"	"50"	"65-74 years"	"65-74"	650
	"Vermont"	"50"	"75-84 years"	"75-84"	229
	"Vermont"	"50"	"85+ years"	"85+"	165
"Total"	"Vermont"	"50"			13318
	"Virginia"	"51"	"< 1 year"	"1"	16241
	"Virginia"	"51"	"1-4 years"	"1-4"	63590
	"Virginia"	"51"	"5-14 years"	"5-14"	150122
	"Virginia"	"51"	"15-24 years"	"15-24"	139873
	"Virginia"	"51"	"25-34 years"	"25-34"	133286
	"Virginia"	"51"	"35-44 years"	"35-44"	138842
	"Virginia"	"51"	"45-54 years"	"45-54"	102725
	"Virginia"	"51"	"55-64 years"	"55-64"	64704
	"Virginia"	"51"	"65-74 years"	"65-74"	29924
	"Virginia"	"51"	"75-84 years"	"75-84"	11651
	"Virginia"	"51"	"85+ years"	"85+"	4343
"Total"	"Virginia"	"51"			855301
	"Washington"	"53"	"< 1 year"	"1"	18715
	"Washington"	"53"	"1-4 years"	"1-4"	82987
	"Washington"	"53"	"5-14 years"	"5-14"	209817
	"Washington"	"53"	"15-24 years"	"15-24"	182976
	"Washington"	"53"	"25-34 years"	"25-34"	174724
	"Washington"	"53"	"35-44 years"	"35-44"	144156
	"Washington"	"53"	"45-54 years"	"45-54"	102616
	"Washington"	"53"	"55-64 years"	"55-64"	63763
	"Washington"	"53"	"65-74 years"	"65-74"	31485
	"Washington"	"53"	"75-84 years"	"75-84"	12121
	"Washington"	"53"	"85+ years"	"85+"	4185
"Total"	"Washington"	"53"			1027545
	"West Virginia"	"54"	"< 1 year"	"1"	447
	"West Virginia"	"54"	"1-4 years"	"1-4"	2282
	"West Virginia"	"54"	"5-14 years"	"5-14"	5811
	"West Virginia"	"54"	"15-24 years"	"15-24"	5303
	"West Virginia"	"54"	"25-34 years"	"25-34"	5224
	"West Virginia"	"54"	"35-44 years"	"35-44"	4646
	"West Virginia"	"54"	"45-54 years"	"45-54"	3352
	"West Virginia"	"54"	"55-64 years"	"55-64"	2272
	"West Virginia"	"54"	"65-74 years"	"65-74"	1516
	"West Virginia"	"54"	"75-84 years"	"75-84"	712
	"West Virginia"	"54"	"85+ years"	"85+"	434
"Total"	"West Virginia"	"54"			31999
	"Wisconsin"	"55"	"< 1 year"	"1"	7415
	"Wisconsin"	"55"	"1-4 years"	"1-4"	34997
	"Wisconsin"	"55"	"5-14 years"	"5-14"	91376
	"Wisconsin"	"55"	"15-24 years"	"15-24"	78374
	"Wisconsin"	"55"	"25-34 years"	"25-34"	62042
	"Wisconsin"	"55"	"35-44 years"	"35-44"	60278
	"Wisconsin"	"55"	"45-54 years"	"45-54"	43823
	"Wisconsin"	"55"	"55-64 years"	"55-64"	27061
	"Wisconsin"	"55"	"65-74 years"	"65-74"	13209
	"Wisconsin"	"55"	"75-84 years"	"75-84"	5010
	"Wisconsin"	"55"	"85+ years"	"85+"	2168
"Total"	"Wisconsin"	"55"			425753
	"Wyoming"	"56"	"< 1 year"	"1"	968
	"Wyoming"	"56"	"1-4 years"	"1-4"	4771
	"Wyoming"	"56"	"5-14 years"	"5-14"	11710
	"Wyoming"	"56"	"15-24 years"	"15-24"	10156
	"Wyoming"	"56"	"25-34 years"	"25-34"	8962
	"Wyoming"	"56"	"35-44 years"	"35-44"	8301
	"Wyoming"	"56"	"45-54 years"	"45-54"	5731
	"Wyoming"	"56"	"55-64 years"	"55-64"	4832
	"Wyoming"	"56"	"65-74 years"	"65-74"	3047
	"Wyoming"	"56"	"75-84 years"	"75-84"	1304
	"Wyoming"	"56"	"85+ years"	"85+"	497
"Total"	"Wyoming"	"56"			60279
"Total"					61312879
"---"
"Dataset: Single-Race Population Estimates 2010-2020 by State and Single-Year Age"
"Query Parameters:"
"Ethnicity: Hispanic or Latino"
"Yearly July 1st Estimates: 2020"
"Group By: States; Ten-Year Age Groups"
"Show Totals: True"
"Show Zero Values: True"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/single-race.html for more information."
"---"
"Query Date: Feb 24, 2022 9:33:47 PM"
"---"
"Suggested Citation: Single-race Population Estimates, United States, 2010-2020. July 1st resident population by state, age, sex,"
"single-race, and Hispanic origin, on CDC WONDER Online Database. Vintage 2020 estimates released by U.S. Census Bureau on July"
"27, 2021. Accessed at http://wonder.cdc.gov/single-race-single-year-v2020.html on Feb 24, 2022 9:33:47 PM"
"---"
Footnotes:
"1. Estimates for 2010-2020 are single-race Vintage 2020 postcensal estimates of the July 1 resident population. These estimates"
"were prepared and released by the U.S. Census Bureau on July 27, 2021."
"---"
Caveats:
